Wall time,Step,Value,Value,Value,Value
1605443373,319515,18,20,15,-19
1605443404,321513,14,20,20,-21
1605443433,323465,17,12,19,-20
1605443459,325094,21,17,19,-21
1605443487,326899,20,12,19,-21
1605443511,328561,20,16,17,-21
1605443539,330409,17,20,20,-21
1605443568,332319,17,10,16,-21
1605443593,334077,19,21,17,-20
1605443622,335928,19,21,16,-19
1605443650,337678,19,20,13,-19
1605443675,339463,18,9,17,-21
1605443702,341208,19,17,18,-19
1605443737,343529,13,16,17,-21
1605443762,345226,20,18,19,-20
1605443788,347006,20,19,20,-21
1605443814,348670,20,12,21,-20
1605443846,350616,18,14,19,-21
1605443877,352586,18,20,19,-21
1605443908,354591,13,21,21,-20
1605443935,356218,21,18,20,-21
1605443966,358255,17,6,20,-19
1605443993,360014,19,19,20,-21
1605444019,361893,18,14,19,-19
1605444047,363847,16,19,20,-21
1605444074,365731,17,15,20,-19
1605444101,367717,18,19,20,-21
1605444128,369661,17,17,18,-20
1605444156,371640,15,20,18,-21
1605444181,373394,19,15,17,-20
1605444210,375332,14,17,18,-21
1605444239,377336,17,19,19,-20
1605444275,379924,7,19,20,-20
1605444301,381708,19,20,18,-20
1605444328,383602,17,17,20,-21
1605444353,385387,19,19,18,-20
1605444378,387130,19,20,18,-19
1605444403,388909,20,18,17,-21
1605444435,391133,12,17,20,-21
1605444462,393071,19,20,21,-20
1605444490,394798,20,20,19,-19
1605444515,396566,19,17,20,-21
1605444539,398284,20,19,21,-21
1605444566,400214,15,16,18,-21
1605444591,402020,19,21,19,-21
1605444616,403760,19,20,19,-21
1605444641,405512,19,19,19,-20
1605444665,407155,21,20,21,-21
1605444691,409040,16,19,18,-19
1605444720,411007,16,16,20,-21
1605444749,412843,18,15,18,-21
1605444772,414547,20,15,15,-21
1605444796,416253,20,19,13,-20
1605444825,418247,17,16,15,-21
1605444849,420003,19,19,16,-21
1605444873,421729,20,19,11,-20
1605444896,423376,21,18,20,-20
1605444920,425067,20,19,18,-21
1605444947,427039,18,21,15,-21
1605444975,429031,16,19,8,-20
1605445006,431038,15,20,16,-20
1605445035,433118,16,20,20,-19
1605445062,435073,17,12,17,-20
1605445088,436874,19,20,20,-21
1605445117,438805,16,18,19,-21
1605445141,440535,19,21,21,-21
1605445165,442198,20,16,21,-21
1605445200,444606,12,17,21,-19
1605445231,446622,14,19,19,-21
1605445259,448283,20,12,21,-20
1605445289,450074,19,16,16,-20
1605445313,451717,21,20,16,-21
1605445345,453836,13,17,19,-21
1605445373,455783,15,16,20,-20
1605445396,457428,21,20,20,-21
1605445421,459148,20,18,18,-21
1605445446,460813,21,20,20,-20
1605445473,462620,19,14,18,-19
1605445497,464267,21,14,15,-19
1605445526,466375,13,20,16,-21
1605445553,468129,19,,21,-21
1605445579,469790,20,,20,-19
1605445606,471708,17,,19,-21
1605445633,473619,17,,20,-21
1605445662,475647,17,,,-21
1605445687,477389,20,,,-21
1605445712,479114,20,,,-21
1605445740,480925,17,,,-19
1605445770,482803,19,,,-21
1605445800,484602,19,,,-20
1605445828,486325,20,,,-21
1605445853,487953,21,,,-20
1605445880,489730,19,,,-20
1605445905,491424,21,,,-21
1605445932,493300,18,,,-21
1605445957,495044,20,,,-21
,,,,,-21
,,,,,-20
,,,,,-19
,,,,,-21
,,,,,-21
,,,,,-20
,,,,,-21
,,,,,-21
,,,,,-21
,,,,,-21
,,,,,-20
,,,,,-20
,,,,,-21
,,,,,-21
,,,,,-21
,,,,,-20
,,,,,-20
,,,,,-20
,,,,,-20
,,,,,-20
,,,,,-19
,,,,,-19
,,,,,-20
,,,,,-21
,,,,,-21
