Wall time,Step,Value,,Value,,Value,,Value
1605471644,311883,15,,20,,15,,-20
1605471679,314072,16,,20,,14,,-18
1605471713,316324,15,,17,,16,,-20
1605471750,318561,17,,18,,11,,-20
1605471781,320602,18,,19,,15,,-20
1605471818,322952,15,,11,,16,,-20
1605471852,325163,17,,19,,12,,-19
1605471889,327597,10,,17,,12,,-18
1605471920,329578,15,,17,,19,,-18
1605471958,332086,15,,16,,9,,-19
1605472001,334842,9,,19,,18,,-20
1605472040,337364,9,,16,,19,,-21
1605472069,339245,17,,21,,-11,,-20
1605472105,341429,18,,21,,14,,-18
1605472134,343367,19,,19,,13,,-21
1605472164,345308,17,,19,,17,,-20
1605472193,347188,18,,18,,11,,-20
1605472224,349156,19,,17,,21,,-21
1605472256,351120,20,,15,,18,,-19
1605472288,353250,18,,17,,13,,-21
1605472319,355192,20,,16,,17,,-18
1605472354,357497,16,,14,,18,,-21
1605472383,359360,19,,19,,17,,-19
1605472425,361827,7,,20,,17,,-19
1605472456,363795,19,,19,,17,,-18
1605472485,365666,17,,12,,11,,-19
1605472521,367994,14,,15,,19,,-20
1605472555,370229,11,,20,,18,,-21
1605472589,372469,14,,19,,18,,-21
1605472623,374650,14,,20,,17,,-19
1605472651,376437,19,,16,,10,,-19
1605472680,378283,19,,21,,16,,-19
1605472714,380486,19,,20,,9,,-21
1605472745,382434,16,,13,,17,,-19
1605472778,384559,18,,18,,17,,-21
1605472812,386733,19,,21,,8,,-21
1605472845,388826,17,,19,,21,,-20
1605472880,391075,13,,17,,19,,-21
1605472912,392984,18,,21,,19,,-21
1605472947,395049,18,,21,,20,,-20
1605472980,397219,16,,12,,12,,-20
1605473009,399133,17,,17,,16,,-20
1605473038,401024,20,,17,,21,,-21
1605473070,402966,20,,14,,21,,-21
1605473101,404976,19,,17,,21,,-21
1605473133,407085,17,,21,,20,,-18
1605473168,409435,13,,15,,20,,-20
1605473201,411596,15,,20,,18,,-21
1605473265,413712,15,,16,,13,,-21
1605473405,415647,16,,14,,20,,-19
1605521437,417910,11,,18,,21,,-18
1605521485,419832,17,,18,,13,,-20
1605521530,422014,15,,17,,18,,-21
1605521568,423944,17,,16,,10,,-18
1605521605,425923,18,,17,,18,,-18
1605521636,427817,19,,14,,16,,-20
1605521672,430149,12,,17,,10,,-21
1605521705,432008,19,,18,,20,,-20
1605521740,434000,17,,18,,18,,-18
1605521782,436359,6,,11,,15,,-19
1605521813,438215,18,,15,,21,,-21
1605521843,439958,18,,21,,19,,-19
1605521875,441783,18,,18,,18,,-20
1605521908,443696,16,,17,,19,,-19
1605521939,445453,19,,17,,14,,-19
1605521972,447424,16,,18,,19,,-20
1605522006,449476,16,,19,,19,,-21
1605522037,451503,17,,16,,19,,-19
1605522071,453520,17,,17,,19,,-20
1605522102,455462,18,,15,,18,,-19
1605522141,457916,14,,16,,15,,-21
1605522169,459706,19,,16,,17,,-20
1605522201,461671,19,,16,,21,,-19
1605522238,463870,16,,12,,19,,-21
